s,C,C
Time,"Back","Front"
 1.3860000E+005, 9.1172328E+001, 1.4560986E+002
 1.3923000E+005, 9.1448006E+001, 1.4563049E+002
 1.3986000E+005, 9.1722399E+001, 1.4565101E+002
 1.4049000E+005, 9.1995513E+001, 1.4567144E+002
 1.4112000E+005, 9.2267352E+001, 1.4569178E+002
 1.4175000E+005, 9.2537924E+001, 1.4571201E+002
 1.4238000E+005, 9.2807233E+001, 1.4573215E+002
 1.4301000E+005, 9.3075286E+001, 1.4575220E+002
 1.4364000E+005, 9.3342087E+001, 1.4577215E+002
 1.4427000E+005, 9.3607643E+001, 1.4579200E+002
 1.4490000E+005, 9.3871959E+001, 1.4581176E+002
 1.4553000E+005, 9.4135040E+001, 1.4583143E+002
 1.4616000E+005, 9.4396893E+001, 1.4585100E+002
 1.4679000E+005, 9.4657523E+001, 1.4587048E+002
 1.4742000E+005, 9.4916935E+001, 1.4588987E+002
 1.4805000E+005, 9.5175135E+001, 1.4590916E+002
 1.4868000E+005, 9.5432129E+001, 1.4592837E+002
 1.4931000E+005, 9.5687921E+001, 1.4594748E+002
 1.4994000E+005, 9.5942518E+001, 1.4596650E+002
 1.5057000E+005, 9.6195924E+001, 1.4598544E+002
 1.5120000E+005, 9.6448146E+001, 1.4600428E+002
 1.5183000E+005, 9.6699189E+001, 1.4602303E+002
 1.5246000E+005, 9.6949057E+001, 1.4604170E+002
 1.5309000E+005, 9.7197757E+001, 1.4606028E+002
 1.5372000E+005, 9.7445293E+001, 1.4607877E+002
 1.5435000E+005, 9.7691672E+001, 1.4609717E+002
 1.5498000E+005, 9.7936898E+001, 1.4611548E+002
 1.5561000E+005, 9.8180977E+001, 1.4613371E+002
 1.5624000E+005, 9.8423913E+001, 1.4615186E+002
 1.5687000E+005, 9.8665713E+001, 1.4616991E+002
 1.5750000E+005, 9.8906382E+001, 1.4618789E+002
 1.5813000E+005, 9.9145924E+001, 1.4620577E+002
 1.5876000E+005, 9.9384344E+001, 1.4622358E+002
 1.5939000E+005, 9.9621649E+001, 1.4624130E+002
 1.6002000E+005, 9.9857843E+001, 1.4625893E+002
 1.6065000E+005, 1.0009293E+002, 1.4627648E+002
 1.6128000E+005, 1.0032692E+002, 1.4629395E+002
 1.6191000E+005, 1.0055981E+002, 1.4631134E+002
 1.6254000E+005, 1.0079161E+002, 1.4632865E+002
 1.6317000E+005, 1.0102233E+002, 1.4634587E+002
 1.6380000E+005, 1.0125197E+002, 1.4636301E+002
 1.6443000E+005, 1.0148053E+002, 1.4638008E+002
 1.6506000E+005, 1.0170802E+002, 1.4639706E+002
 1.6569000E+005, 1.0193444E+002, 1.4641396E+002
 1.6632000E+005, 1.0215980E+002, 1.4643078E+002
 1.6695000E+005, 1.0238411E+002, 1.4644753E+002
 1.6758000E+005, 1.0260737E+002, 1.4646419E+002
 1.6821000E+005, 1.0282958E+002, 1.4648078E+002
 1.6884000E+005, 1.0305075E+002, 1.4649728E+002
 1.6947000E+005, 1.0327089E+002, 1.4651371E+002
 1.7010000E+005, 1.0348999E+002, 1.4653007E+002
 1.7073000E+005, 1.0370807E+002, 1.4654634E+002
 1.7136000E+005, 1.0392513E+002, 1.4656254E+002
 1.7199000E+005, 1.0414116E+002, 1.4657867E+002
 1.7262000E+005, 1.0435619E+002, 1.4659472E+002
 1.7325000E+005, 1.0457021E+002, 1.4661069E+002
 1.7388000E+005, 1.0478323E+002, 1.4662659E+002
 1.7451000E+005, 1.0499524E+002, 1.4664241E+002
 1.7514000E+005, 1.0520627E+002, 1.4665816E+002
 1.7577000E+005, 1.0541630E+002, 1.4667383E+002
 1.7640000E+005, 1.0562535E+002, 1.4668943E+002
 1.7703000E+005, 1.0583343E+002, 1.4670496E+002
 1.7766000E+005, 1.0604052E+002, 1.4672041E+002
 1.7829000E+005, 1.0624665E+002, 1.4673580E+002
 1.7892000E+005, 1.0645181E+002, 1.4675110E+002
 1.7955000E+005, 1.0665601E+002, 1.4676634E+002
 1.8018000E+005, 1.0685925E+002, 1.4678151E+002
 1.8081000E+005, 1.0706154E+002, 1.4679660E+002
 1.8144000E+005, 1.0726288E+002, 1.4681163E+002
 1.8207000E+005, 1.0746327E+002, 1.4682658E+002
 1.8270000E+005, 1.0766273E+002, 1.4684146E+002
 1.8333000E+005, 1.0786125E+002, 1.4685628E+002
 1.8396000E+005, 1.0805885E+002, 1.4687102E+002
 1.8459000E+005, 1.0825551E+002, 1.4688570E+002
 1.8522000E+005, 1.0845126E+002, 1.4690030E+002
 1.8585000E+005, 1.0864608E+002, 1.4691484E+002
 1.8648000E+005, 1.0884000E+002, 1.4692931E+002
 1.8711000E+005, 1.0903300E+002, 1.4694371E+002
 1.8774000E+005, 1.0922510E+002, 1.4695804E+002
 1.8837000E+005, 1.0941630E+002, 1.4697231E+002
 1.8900000E+005, 1.0960660E+002, 1.4698651E+002
 1.8963000E+005, 1.0979601E+002, 1.4700064E+002
 1.9026000E+005, 1.0998453E+002, 1.4701471E+002
 1.9089000E+005, 1.1017217E+002, 1.4702871E+002
 1.9152000E+005, 1.1035893E+002, 1.4704264E+002
 1.9215000E+005, 1.1054482E+002, 1.4705651E+002
 1.9278000E+005, 1.1072983E+002, 1.4707031E+002
 1.9341000E+005, 1.1091397E+002, 1.4708405E+002
 1.9404000E+005, 1.1109725E+002, 1.4709773E+002
 1.9467000E+005, 1.1127968E+002, 1.4711134E+002
 1.9530000E+005, 1.1146124E+002, 1.4712489E+002
 1.9593000E+005, 1.1164196E+002, 1.4713837E+002
 1.9656000E+005, 1.1182183E+002, 1.4715179E+002
 1.9719000E+005, 1.1200085E+002, 1.4716515E+002
 1.9782000E+005, 1.1217904E+002, 1.4717844E+002
 1.9845000E+005, 1.1235639E+002, 1.4719167E+002
 1.9908000E+005, 1.1253291E+002, 1.4720484E+002
 1.9971000E+005, 1.1270860E+002, 1.4721795E+002
 2.0034000E+005, 1.1288347E+002, 1.4723100E+002
 2.0097000E+005, 1.1305751E+002, 1.4724398E+002
 2.0160000E+005, 1.1323074E+002, 1.4725691E+002
 2.0223000E+005, 1.1340316E+002, 1.4726977E+002
 2.0286000E+005, 1.1357477E+002, 1.4728257E+002
 2.0349000E+005, 1.1374558E+002, 1.4729532E+002
 2.0412000E+005, 1.1391559E+002, 1.4730800E+002
 2.0475000E+005, 1.1408479E+002, 1.4732062E+002
 2.0538000E+005, 1.1425321E+002, 1.4733319E+002
 2.0601000E+005, 1.1442084E+002, 1.4734569E+002
 2.0664000E+005, 1.1458767E+002, 1.4735814E+002
 2.0727000E+005, 1.1475373E+002, 1.4737053E+002
 2.0790000E+005, 1.1491901E+002, 1.4738286E+002
 2.0853000E+005, 1.1508351E+002, 1.4739513E+002
 2.0916000E+005, 1.1524725E+002, 1.4740735E+002
 2.0979000E+005, 1.1541021E+002, 1.4741951E+002
 2.1042000E+005, 1.1557241E+002, 1.4743161E+002
 2.1105000E+005, 1.1573385E+002, 1.4744365E+002
 2.1168000E+005, 1.1589453E+002, 1.4745564E+002
 2.1231000E+005, 1.1605446E+002, 1.4746757E+002
 2.1294000E+005, 1.1621364E+002, 1.4747945E+002
 2.1357000E+005, 1.1637207E+002, 1.4749127E+002
 2.1420000E+005, 1.1652976E+002, 1.4750303E+002
 2.1483000E+005, 1.1668672E+002, 1.4751474E+002
 2.1546000E+005, 1.1684293E+002, 1.4752640E+002
 2.1609000E+005, 1.1699841E+002, 1.4753800E+002
 2.1672000E+005, 1.1715317E+002, 1.4754954E+002
 2.1735000E+005, 1.1730719E+002, 1.4756103E+002
 2.1798000E+005, 1.1746050E+002, 1.4757247E+002
 2.1861000E+005, 1.1761309E+002, 1.4758385E+002
 2.1924000E+005, 1.1776496E+002, 1.4759518E+002
 2.1987000E+005, 1.1791612E+002, 1.4760646E+002
 2.2050000E+005, 1.1806657E+002, 1.4761768E+002
 2.2113000E+005, 1.1821631E+002, 1.4762886E+002
 2.2176000E+005, 1.1836535E+002, 1.4763997E+002
 2.2239000E+005, 1.1851370E+002, 1.4765104E+002
 2.2302000E+005, 1.1866134E+002, 1.4766206E+002
 2.2365000E+005, 1.1880830E+002, 1.4767302E+002
 2.2428000E+005, 1.1895457E+002, 1.4768393E+002
 2.2491000E+005, 1.1910015E+002, 1.4769479E+002
 2.2554000E+005, 1.1924504E+002, 1.4770560E+002
 2.2617000E+005, 1.1938926E+002, 1.4771636E+002
 2.2680000E+005, 1.1953281E+002, 1.4772707E+002
 2.2743000E+005, 1.1967568E+002, 1.4773773E+002
 2.2806000E+005, 1.1981787E+002, 1.4774834E+002
 2.2869000E+005, 1.1995941E+002, 1.4775890E+002
 2.2932000E+005, 1.2010028E+002, 1.4776941E+002
 2.2995000E+005, 1.2024048E+002, 1.4777987E+002
 2.3058000E+005, 1.2038003E+002, 1.4779028E+002
 2.3121000E+005, 1.2051893E+002, 1.4780064E+002
 2.3184000E+005, 1.2065718E+002, 1.4781095E+002
 2.3247000E+005, 1.2079477E+002, 1.4782122E+002
 2.3310000E+005, 1.2093172E+002, 1.4783144E+002
 2.3373000E+005, 1.2106803E+002, 1.4784160E+002
 2.3436000E+005, 1.2120370E+002, 1.4785173E+002
 2.3499000E+005, 1.2133874E+002, 1.4786180E+002
 2.3562000E+005, 1.2147314E+002, 1.4787183E+002
 2.3625000E+005, 1.2160691E+002, 1.4788181E+002
 2.3688000E+005, 1.2174005E+002, 1.4789174E+002
 2.3751000E+005, 1.2187257E+002, 1.4790163E+002
