s,C,C
Time,"Back","Front"
 4.2300000E+002, 7.5245214E+001, 1.0855073E+002
 4.2500000E+002, 7.5485430E+001, 1.0861229E+002
 4.2700000E+002, 7.5697856E+001, 1.0866672E+002
 4.2900000E+002, 7.5909272E+001, 1.0872088E+002
 4.3150000E+002, 7.6145891E+001, 1.0878150E+002
 4.3350000E+002, 7.6381292E+001, 1.0884181E+002
 4.3550000E+002, 7.6589458E+001, 1.0889513E+002
 4.3800000E+002, 7.6822440E+001, 1.0895481E+002
 4.4000000E+002, 7.7054220E+001, 1.0901417E+002
 4.4200000E+002, 7.7259186E+001, 1.0906667E+002
 4.4450000E+002, 7.7488584E+001, 1.0912542E+002
 4.4650000E+002, 7.7716799E+001, 1.0918386E+002
 4.4850000E+002, 7.7918612E+001, 1.0923554E+002
 4.5050000E+002, 7.8119463E+001, 1.0928697E+002
 4.5300000E+002, 7.8344256E+001, 1.0934453E+002
 4.5500000E+002, 7.8567889E+001, 1.0940178E+002
 4.5700000E+002, 7.8765649E+001, 1.0945242E+002
 4.5950000E+002, 7.8986982E+001, 1.0950908E+002
 4.6150000E+002, 7.9207172E+001, 1.0956545E+002
 4.6350000E+002, 7.9401887E+001, 1.0961530E+002
 4.6550000E+002, 7.9595674E+001, 1.0966490E+002
 4.6800000E+002, 7.9812560E+001, 1.0972042E+002
 4.7000000E+002, 8.0028326E+001, 1.0977565E+002
 4.7200000E+002, 8.0219129E+001, 1.0982449E+002
 4.7450000E+002, 8.0432674E+001, 1.0987914E+002
 4.7650000E+002, 8.0645116E+001, 1.0993352E+002
 4.7850000E+002, 8.0832979E+001, 1.0998160E+002
 4.8050000E+002, 8.1019946E+001, 1.1002945E+002
 4.8300000E+002, 8.1229198E+001, 1.1008300E+002
 4.8500000E+002, 8.1437370E+001, 1.1013628E+002
 4.8700000E+002, 8.1621456E+001, 1.1018339E+002
 4.8950000E+002, 8.1827484E+001, 1.1023611E+002
 4.9150000E+002, 8.2032447E+001, 1.1028856E+002
 4.9350000E+002, 8.2213695E+001, 1.1033494E+002
 4.9550000E+002, 8.2394080E+001, 1.1038110E+002
 4.9800000E+002, 8.2595964E+001, 1.1043276E+002
 5.0000000E+002, 8.2796805E+001, 1.1048415E+002
 5.0200000E+002, 8.2974408E+001, 1.1052959E+002
 5.0450000E+002, 8.3173180E+001, 1.1058045E+002
 5.0650000E+002, 8.3370925E+001, 1.1063105E+002
 5.0850000E+002, 8.3545790E+001, 1.1067579E+002
 5.1100000E+002, 8.3741496E+001, 1.1072586E+002
 5.1300000E+002, 8.3936192E+001, 1.1077568E+002
 5.1500000E+002, 8.4108360E+001, 1.1081973E+002
 5.1700000E+002, 8.4279707E+001, 1.1086356E+002
 5.1950000E+002, 8.4471477E+001, 1.1091263E+002
 5.2150000E+002, 8.4662255E+001, 1.1096144E+002
 5.2350000E+002, 8.4830960E+001, 1.1100460E+002
 5.2600000E+002, 8.5019772E+001, 1.1105290E+002
 5.2800000E+002, 8.5207608E+001, 1.1110096E+002
 5.3000000E+002, 8.5373710E+001, 1.1114345E+002
 5.3200000E+002, 8.5539020E+001, 1.1118574E+002
 5.3450000E+002, 8.5724032E+001, 1.1123307E+002
 5.3650000E+002, 8.5908088E+001, 1.1128016E+002
 5.3850000E+002, 8.6070848E+001, 1.1132179E+002
