s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 1.410E+03, 6.232E+01,-1.667E+01,-3.218E+01,-1.357E+01, 8.417E-02, 0.000E+00, 0.000E+00, 2.704E-01,-1.090E-02, 1.262E-03, 1.262E-03
 1.420E+03, 6.229E+01,-1.675E+01,-2.659E+01,-1.378E+01, 8.649E-02, 0.000E+00, 0.000E+00, 5.186E+00, 5.258E+00, 1.262E-03, 1.262E-03
 1.430E+03, 6.214E+01,-1.660E+01,-3.971E+01,-1.321E+01, 8.200E-02, 0.000E+00, 0.000E+00,-7.279E+00,-7.303E+00, 1.262E-03, 1.262E-03
 1.440E+03, 6.417E+01,-1.688E+01,-3.378E+01,-1.250E+01, 8.431E-02, 0.000E+00, 0.000E+00, 1.350E+00, 1.095E+00, 1.262E-03, 1.262E-03
 1.450E+03, 6.359E+01,-1.675E+01,-3.114E+01,-1.277E+01, 8.626E-02, 0.000E+00, 0.000E+00, 2.997E+00, 3.022E+00, 1.262E-03, 1.262E-03
 1.460E+03, 6.161E+01,-1.634E+01,-3.372E+01,-1.267E+01, 8.693E-02, 0.000E+00, 0.000E+00,-8.746E-01,-1.033E+00, 1.262E-03, 1.262E-03
 1.470E+03, 6.247E+01,-1.676E+01,-3.783E+01,-1.248E+01, 8.688E-02, 0.000E+00, 0.000E+00,-4.528E+00,-4.502E+00, 1.262E-03, 1.262E-03
 1.480E+03, 6.306E+01,-1.684E+01,-4.334E+01,-1.296E+01, 8.650E-02, 0.000E+00, 0.000E+00,-1.013E+01,-1.000E+01, 1.262E-03, 1.262E-03
 1.490E+03, 6.540E+01,-1.733E+01,-3.002E+01,-1.389E+01, 8.564E-02, 0.000E+00, 0.000E+00, 4.351E+00, 4.244E+00, 1.262E-03, 1.262E-03
 1.500E+03, 6.273E+01,-1.685E+01,-3.092E+01,-1.384E+01, 8.485E-02, 0.000E+00, 0.000E+00, 1.293E+00, 1.200E+00, 1.262E-03, 1.262E-03
