s,C,C
Time,"Back","Front"
 9.8280000E+004, 7.0591835E+001, 1.4405450E+002
 9.8910000E+004, 7.0961496E+001, 1.4408298E+002
 9.9540000E+004, 7.1329538E+001, 1.4411130E+002
 1.0017000E+005, 7.1695961E+001, 1.4413946E+002
 1.0080000E+005, 7.2060771E+001, 1.4416748E+002
 1.0143000E+005, 7.2423970E+001, 1.4419533E+002
 1.0206000E+005, 7.2785560E+001, 1.4422304E+002
 1.0269000E+005, 7.3145547E+001, 1.4425059E+002
 1.0332000E+005, 7.3503934E+001, 1.4427800E+002
 1.0395000E+005, 7.3860724E+001, 1.4430526E+002
 1.0458000E+005, 7.4215922E+001, 1.4433238E+002
 1.0521000E+005, 7.4569531E+001, 1.4435935E+002
 1.0584000E+005, 7.4921556E+001, 1.4438618E+002
 1.0647000E+005, 7.5272002E+001, 1.4441286E+002
 1.0710000E+005, 7.5620872E+001, 1.4443941E+002
 1.0773000E+005, 7.5968172E+001, 1.4446582E+002
 1.0836000E+005, 7.6313905E+001, 1.4449209E+002
 1.0899000E+005, 7.6658077E+001, 1.4451822E+002
 1.0962000E+005, 7.7000693E+001, 1.4454422E+002
 1.1025000E+005, 7.7341757E+001, 1.4457009E+002
 1.1088000E+005, 7.7681274E+001, 1.4459582E+002
 1.1151000E+005, 7.8019250E+001, 1.4462142E+002
 1.1214000E+005, 7.8355689E+001, 1.4464689E+002
 1.1277000E+005, 7.8690597E+001, 1.4467223E+002
 1.1340000E+005, 7.9023980E+001, 1.4469744E+002
 1.1403000E+005, 7.9355841E+001, 1.4472252E+002
 1.1466000E+005, 7.9686188E+001, 1.4474748E+002
 1.1529000E+005, 8.0015024E+001, 1.4477231E+002
 1.1592000E+005, 8.0342356E+001, 1.4479702E+002
 1.1655000E+005, 8.0668189E+001, 1.4482160E+002
 1.1718000E+005, 8.0992529E+001, 1.4484606E+002
 1.1781000E+005, 8.1315380E+001, 1.4487040E+002
 1.1844000E+005, 8.1636750E+001, 1.4489461E+002
 1.1907000E+005, 8.1956643E+001, 1.4491871E+002
 1.1970000E+005, 8.2275065E+001, 1.4494269E+002
 1.2033000E+005, 8.2592021E+001, 1.4496655E+002
 1.2096000E+005, 8.2907518E+001, 1.4499029E+002
 1.2159000E+005, 8.3221561E+001, 1.4501391E+002
 1.2222000E+005, 8.3534157E+001, 1.4503742E+002
 1.2285000E+005, 8.3845309E+001, 1.4506081E+002
 1.2348000E+005, 8.4155026E+001, 1.4508409E+002
 1.2411000E+005, 8.4463311E+001, 1.4510725E+002
 1.2474000E+005, 8.4770172E+001, 1.4513030E+002
 1.2537000E+005, 8.5075613E+001, 1.4515324E+002
 1.2600000E+005, 8.5379642E+001, 1.4517607E+002
 1.2663000E+005, 8.5682262E+001, 1.4519878E+002
 1.2726000E+005, 8.5983482E+001, 1.4522139E+002
 1.2789000E+005, 8.6283305E+001, 1.4524388E+002
 1.2852000E+005, 8.6581739E+001, 1.4526627E+002
 1.2915000E+005, 8.6878788E+001, 1.4528855E+002
 1.2978000E+005, 8.7174459E+001, 1.4531072E+002
 1.3041000E+005, 8.7468758E+001, 1.4533278E+002
 1.3104000E+005, 8.7761691E+001, 1.4535474E+002
 1.3167000E+005, 8.8053262E+001, 1.4537659E+002
 1.3230000E+005, 8.8343479E+001, 1.4539833E+002
 1.3293000E+005, 8.8632347E+001, 1.4541997E+002
 1.3356000E+005, 8.8919872E+001, 1.4544151E+002
 1.3419000E+005, 8.9206059E+001, 1.4546294E+002
 1.3482000E+005, 8.9490915E+001, 1.4548427E+002
