s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 1.350E+03, 5.908E+01,-1.075E+01,-4.961E+01, 6.150E-01, 8.335E-02, 0.000E+00, 0.000E+00,-4.070E-01,-5.863E-01, 1.262E-03, 1.262E-03
 1.360E+03, 6.618E+01,-1.206E+01,-5.188E+01, 1.047E+00, 8.788E-02, 0.000E+00, 0.000E+00, 3.952E+00, 3.370E+00, 1.262E-03, 1.262E-03
 1.370E+03, 6.387E+01,-1.156E+01,-4.216E+01, 1.294E+00, 9.028E-02, 0.000E+00, 0.000E+00, 1.266E+01, 1.154E+01, 1.262E-03, 1.262E-03
 1.380E+03, 6.447E+01,-1.166E+01,-5.508E+01, 1.171E+00, 9.355E-02, 0.000E+00, 0.000E+00,-1.183E+00,-1.008E+00, 1.262E-03, 1.262E-03
 1.390E+03, 6.365E+01,-1.161E+01,-5.344E+01, 9.534E-01, 8.858E-02, 0.000E+00, 0.000E+00,-5.240E-01,-3.571E-01, 1.262E-03, 1.262E-03
 1.400E+03, 5.645E+01,-1.003E+01,-4.833E+01, 5.802E-01, 8.750E-02, 0.000E+00, 0.000E+00,-6.064E-01,-1.236E+00, 1.262E-03, 1.262E-03
 1.410E+03, 6.859E+01,-1.250E+01,-4.890E+01, 3.771E-01, 9.069E-02, 0.000E+00, 0.000E+00, 7.751E+00, 7.664E+00, 1.262E-03, 1.262E-03
 1.420E+03, 5.793E+01,-1.042E+01,-5.442E+01, 5.599E-01, 8.179E-02, 0.000E+00, 0.000E+00,-6.522E+00,-6.264E+00, 1.262E-03, 1.262E-03
 1.430E+03, 6.267E+01,-1.153E+01,-4.782E+01, 9.678E-01, 8.623E-02, 0.000E+00, 0.000E+00, 3.863E+00, 4.385E+00, 1.262E-03, 1.262E-03
 1.440E+03, 6.856E+01,-1.202E+01,-5.879E+01, 1.093E+00, 9.252E-02, 0.000E+00, 0.000E+00,-3.084E-01,-1.067E+00, 1.262E-03, 1.262E-03
 1.450E+03, 5.862E+01,-1.048E+01,-4.482E+01, 8.034E-01, 8.564E-02, 0.000E+00, 0.000E+00, 4.401E+00, 4.204E+00, 1.262E-03, 1.262E-03
 1.460E+03, 6.593E+01,-1.196E+01,-4.985E+01, 1.043E+00, 8.962E-02, 0.000E+00, 0.000E+00, 4.907E+00, 5.251E+00, 1.262E-03, 1.262E-03
 1.470E+03, 6.081E+01,-1.087E+01,-5.382E+01, 8.949E-01, 8.646E-02, 0.000E+00, 0.000E+00,-2.642E+00,-2.901E+00, 1.262E-03, 1.262E-03
 1.480E+03, 6.306E+01,-1.144E+01,-5.165E+01, 5.425E-01, 8.799E-02, 0.000E+00, 0.000E+00, 8.997E-01, 5.935E-01, 1.262E-03, 1.262E-03
 1.490E+03, 6.552E+01,-1.174E+01,-4.552E+01, 7.174E-01, 9.217E-02, 0.000E+00, 0.000E+00, 9.008E+00, 9.070E+00, 1.262E-03, 1.262E-03
 1.500E+03, 6.147E+01,-1.093E+01,-5.276E+01, 3.737E-01, 8.360E-02, 0.000E+00, 0.000E+00,-1.555E+00,-1.771E+00, 1.262E-03, 1.262E-03
