s,kg/s,kg/s,C,C,m
Time,"DM_in","DM_out","HGL Temp","CGL Temp","HGL Height"
 1.040E+03, 5.234E-01, 5.298E-01, 1.276E+02, 4.250E+01, 1.081E+00
 1.050E+03, 5.073E-01, 5.362E-01, 1.324E+02, 4.352E+01, 1.074E+00
 1.060E+03, 5.207E-01, 5.373E-01, 1.389E+02, 4.435E+01, 1.048E+00
 1.070E+03, 5.381E-01, 5.364E-01, 1.364E+02, 4.606E+01, 1.110E+00
 1.080E+03, 5.272E-01, 5.242E-01, 1.371E+02, 4.759E+01, 1.167E+00
 1.090E+03, 5.051E-01, 5.223E-01, 1.310E+02, 3.781E+01, 1.012E+00
 1.100E+03, 4.972E-01, 5.212E-01, 1.282E+02, 3.750E+01, 1.092E+00
 1.110E+03, 4.956E-01, 5.116E-01, 1.327E+02, 3.932E+01, 1.148E+00
 1.120E+03, 5.057E-01, 5.388E-01, 1.368E+02, 4.132E+01, 1.126E+00
 1.130E+03, 5.433E-01, 5.258E-01, 1.358E+02, 4.255E+01, 1.086E+00
 1.140E+03, 5.334E-01, 5.541E-01, 1.381E+02, 4.398E+01, 1.103E+00
 1.150E+03, 5.362E-01, 5.451E-01, 1.411E+02, 4.434E+01, 1.057E+00
 1.160E+03, 5.380E-01, 5.386E-01, 1.371E+02, 4.464E+01, 1.036E+00
 1.170E+03, 5.434E-01, 5.428E-01, 1.308E+02, 4.043E+01, 9.777E-01
 1.180E+03, 5.402E-01, 5.460E-01, 1.279E+02, 3.616E+01, 9.383E-01
 1.190E+03, 5.371E-01, 5.379E-01, 1.300E+02, 3.745E+01, 9.631E-01
 1.200E+03, 5.192E-01, 5.308E-01, 1.342E+02, 3.863E+01, 9.681E-01
 1.210E+03, 5.148E-01, 5.127E-01, 1.336E+02, 4.010E+01, 1.017E+00
 1.220E+03, 5.184E-01, 5.243E-01, 1.331E+02, 4.161E+01, 1.078E+00
 1.230E+03, 5.014E-01, 5.333E-01, 1.344E+02, 4.228E+01, 1.114E+00
 1.240E+03, 5.128E-01, 5.126E-01, 1.368E+02, 4.400E+01, 1.155E+00
 1.250E+03, 5.218E-01, 5.264E-01, 1.337E+02, 3.980E+01, 1.069E+00
 1.260E+03, 5.258E-01, 5.416E-01, 1.345E+02, 3.789E+01, 1.007E+00
 1.270E+03, 5.270E-01, 5.307E-01, 1.343E+02, 3.741E+01, 9.651E-01
