s,C,C
Time,"Back","Front"
 8.7570000E+004, 6.4057995E+001, 1.4354407E+002
 8.8200000E+004, 6.4455416E+001, 1.4357558E+002
 8.8830000E+004, 6.4851206E+001, 1.4360688E+002
 8.9460000E+004, 6.5245363E+001, 1.4363800E+002
 9.0090000E+004, 6.5637885E+001, 1.4366891E+002
 9.0720000E+004, 6.6028771E+001, 1.4369964E+002
 9.1350000E+004, 6.6418022E+001, 1.4373019E+002
 9.1980000E+004, 6.6805635E+001, 1.4376054E+002
 9.2610000E+004, 6.7191610E+001, 1.4379072E+002
 9.3240000E+004, 6.7575949E+001, 1.4382071E+002
 9.3870000E+004, 6.7958652E+001, 1.4385053E+002
 9.4500000E+004, 6.8339718E+001, 1.4388018E+002
 9.5130000E+004, 6.8719150E+001, 1.4390965E+002
 9.5760000E+004, 6.9096949E+001, 1.4393895E+002
 9.6390000E+004, 6.9473116E+001, 1.4396808E+002
 9.7020000E+004, 6.9847654E+001, 1.4399705E+002
 9.7650000E+004, 7.0220563E+001, 1.4402585E+002
 9.8280000E+004, 7.0591847E+001, 1.4405449E+002
 9.8910000E+004, 7.0961508E+001, 1.4408297E+002
 9.9540000E+004, 7.1329549E+001, 1.4411130E+002
 1.0017000E+005, 7.1695973E+001, 1.4413946E+002
 1.0080000E+005, 7.2060782E+001, 1.4416747E+002
 1.0143000E+005, 7.2423980E+001, 1.4419533E+002
 1.0206000E+005, 7.2785571E+001, 1.4422304E+002
 1.0269000E+005, 7.3145558E+001, 1.4425059E+002
 1.0332000E+005, 7.3503944E+001, 1.4427800E+002
 1.0395000E+005, 7.3860734E+001, 1.4430526E+002
 1.0458000E+005, 7.4215931E+001, 1.4433238E+002
 1.0521000E+005, 7.4569540E+001, 1.4435935E+002
 1.0584000E+005, 7.4921565E+001, 1.4438617E+002
 1.0647000E+005, 7.5272011E+001, 1.4441286E+002
 1.0710000E+005, 7.5620880E+001, 1.4443941E+002
 1.0773000E+005, 7.5968180E+001, 1.4446582E+002
 1.0836000E+005, 7.6313913E+001, 1.4449209E+002
 1.0899000E+005, 7.6658085E+001, 1.4451822E+002
 1.0962000E+005, 7.7000700E+001, 1.4454422E+002
 1.1025000E+005, 7.7341764E+001, 1.4457008E+002
 1.1088000E+005, 7.7681281E+001, 1.4459582E+002
 1.1151000E+005, 7.8019257E+001, 1.4462142E+002
 1.1214000E+005, 7.8355696E+001, 1.4464689E+002
 1.1277000E+005, 7.8690604E+001, 1.4467222E+002
 1.1340000E+005, 7.9023986E+001, 1.4469744E+002
 1.1403000E+005, 7.9355847E+001, 1.4472252E+002
 1.1466000E+005, 7.9686193E+001, 1.4474748E+002
 1.1529000E+005, 8.0015030E+001, 1.4477231E+002
 1.1592000E+005, 8.0342361E+001, 1.4479701E+002
 1.1655000E+005, 8.0668194E+001, 1.4482160E+002
 1.1718000E+005, 8.0992534E+001, 1.4484606E+002
 1.1781000E+005, 8.1315385E+001, 1.4487039E+002
 1.1844000E+005, 8.1636754E+001, 1.4489461E+002
 1.1907000E+005, 8.1956647E+001, 1.4491871E+002
 1.1970000E+005, 8.2275069E+001, 1.4494269E+002
 1.2033000E+005, 8.2592025E+001, 1.4496654E+002
 1.2096000E+005, 8.2907522E+001, 1.4499029E+002
 1.2159000E+005, 8.3221565E+001, 1.4501391E+002
 1.2222000E+005, 8.3534160E+001, 1.4503742E+002
 1.2285000E+005, 8.3845313E+001, 1.4506081E+002
 1.2348000E+005, 8.4155029E+001, 1.4508409E+002
 1.2411000E+005, 8.4463314E+001, 1.4510725E+002
 1.2474000E+005, 8.4770175E+001, 1.4513030E+002
 1.2537000E+005, 8.5075616E+001, 1.4515324E+002
 1.2600000E+005, 8.5379644E+001, 1.4517606E+002
 1.2663000E+005, 8.5682265E+001, 1.4519878E+002
 1.2726000E+005, 8.5983484E+001, 1.4522138E+002
 1.2789000E+005, 8.6283307E+001, 1.4524388E+002
 1.2852000E+005, 8.6581740E+001, 1.4526627E+002
 1.2915000E+005, 8.6878790E+001, 1.4528854E+002
 1.2978000E+005, 8.7174461E+001, 1.4531071E+002
 1.3041000E+005, 8.7468760E+001, 1.4533278E+002
 1.3104000E+005, 8.7761692E+001, 1.4535473E+002
 1.3167000E+005, 8.8053263E+001, 1.4537658E+002
 1.3230000E+005, 8.8343480E+001, 1.4539833E+002
 1.3293000E+005, 8.8632348E+001, 1.4541997E+002
 1.3356000E+005, 8.8919872E+001, 1.4544151E+002
 1.3419000E+005, 8.9206059E+001, 1.4546294E+002
 1.3482000E+005, 8.9490915E+001, 1.4548427E+002
 1.3545000E+005, 8.9774445E+001, 1.4550550E+002
 1.3608000E+005, 9.0056655E+001, 1.4552663E+002
 1.3671000E+005, 9.0337551E+001, 1.4554765E+002
 1.3734000E+005, 9.0617138E+001, 1.4556858E+002
 1.3797000E+005, 9.0895423E+001, 1.4558940E+002
 1.3860000E+005, 9.1172411E+001, 1.4561013E+002
 1.3923000E+005, 9.1448108E+001, 1.4563075E+002
 1.3986000E+005, 9.1722519E+001, 1.4565128E+002
 1.4049000E+005, 9.1995651E+001, 1.4567171E+002
 1.4112000E+005, 9.2267509E+001, 1.4569204E+002
 1.4175000E+005, 9.2538099E+001, 1.4571228E+002
 1.4238000E+005, 9.2807426E+001, 1.4573242E+002
 1.4301000E+005, 9.3075496E+001, 1.4575247E+002
 1.4364000E+005, 9.3342315E+001, 1.4577241E+002
 1.4427000E+005, 9.3607888E+001, 1.4579227E+002
 1.4490000E+005, 9.3872221E+001, 1.4581203E+002
 1.4553000E+005, 9.4135319E+001, 1.4583169E+002
 1.4616000E+005, 9.4397189E+001, 1.4585127E+002
 1.4679000E+005, 9.4657835E+001, 1.4587075E+002
 1.4742000E+005, 9.4917264E+001, 1.4589013E+002
 1.4805000E+005, 9.5175480E+001, 1.4590943E+002
 1.4868000E+005, 9.5432489E+001, 1.4592863E+002
 1.4931000E+005, 9.5688297E+001, 1.4594775E+002
 1.4994000E+005, 9.5942910E+001, 1.4596677E+002
 1.5057000E+005, 9.6196332E+001, 1.4598570E+002
 1.5120000E+005, 9.6448569E+001, 1.4600455E+002
 1.5183000E+005, 9.6699626E+001, 1.4602330E+002
 1.5246000E+005, 9.6949510E+001, 1.4604197E+002
 1.5309000E+005, 9.7198224E+001, 1.4606054E+002
 1.5372000E+005, 9.7445776E+001, 1.4607903E+002
 1.5435000E+005, 9.7692169E+001, 1.4609743E+002
 1.5498000E+005, 9.7937409E+001, 1.4611575E+002
 1.5561000E+005, 9.8181502E+001, 1.4613398E+002
 1.5624000E+005, 9.8424453E+001, 1.4615212E+002
 1.5687000E+005, 9.8666266E+001, 1.4617018E+002
 1.5750000E+005, 9.8906948E+001, 1.4618815E+002
 1.5813000E+005, 9.9146504E+001, 1.4620604E+002
 1.5876000E+005, 9.9384938E+001, 1.4622384E+002
 1.5939000E+005, 9.9622256E+001, 1.4624156E+002
 1.6002000E+005, 9.9858463E+001, 1.4625920E+002
 1.6065000E+005, 1.0009356E+002, 1.4627675E+002
 1.6128000E+005, 1.0032757E+002, 1.4629422E+002
 1.6191000E+005, 1.0056047E+002, 1.4631160E+002
 1.6254000E+005, 1.0079228E+002, 1.4632891E+002
 1.6317000E+005, 1.0102301E+002, 1.4634613E+002
 1.6380000E+005, 1.0125266E+002, 1.4636328E+002
 1.6443000E+005, 1.0148123E+002, 1.4638034E+002
 1.6506000E+005, 1.0170874E+002, 1.4639732E+002
 1.6569000E+005, 1.0193517E+002, 1.4641422E+002
 1.6632000E+005, 1.0216055E+002, 1.4643105E+002
 1.6695000E+005, 1.0238487E+002, 1.4644779E+002
 1.6758000E+005, 1.0260814E+002, 1.4646445E+002
 1.6821000E+005, 1.0283036E+002, 1.4648104E+002
 1.6884000E+005, 1.0305154E+002, 1.4649755E+002
 1.6947000E+005, 1.0327169E+002, 1.4651398E+002
 1.7010000E+005, 1.0349080E+002, 1.4653033E+002
 1.7073000E+005, 1.0370889E+002, 1.4654661E+002
 1.7136000E+005, 1.0392596E+002, 1.4656281E+002
 1.7199000E+005, 1.0414201E+002, 1.4657893E+002
 1.7262000E+005, 1.0435705E+002, 1.4659498E+002
